association	dataset	threshold value	standardized value
GTEX-QMR6-1326-SM-32PLB	GTEx Tissue Sample Gene Expression Profiles	1.0	1.19272
GTEX-UPJH-0526-SM-4IHK8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
H3K4me3_Brain Anterior Caudate	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
CHAGO-K-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.883557
POLR2AphosphoS2_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
AP4B1	Pathway Commons Protein-Protein Interactions	1.0	null
POLR2AphosphoS2_A549_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
NCI-H1648	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.866125
lysosome	LOCATE Predicted Protein Localization Annotations	1.0	null
membrane-bounded organelle	GO Cellular Component Annotations 2015	1.0	null
cell part	GO Cellular Component Annotations 2015	1.0	null
BRD-K26399271	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-5.30233
GTEX-Q2AG-0011-R10A-SM-2HMLA	GTEx Tissue Sample Gene Expression Profiles	1.0	1.25463
SP4	ENCODE Transcription Factor Targets	1.0	null
Clathrin-mediated endocytosis	Reactome Pathways 2024	1.0	null
H3K4me3_HCT116_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
hydrocortisone_homo sapiens_gpl201_gse21909	GEO Signatures of Differentially Expressed Genes for Small Molecules	1.0	null
BRD-K07276273	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.59598
stratum pyramidale of rostral CA3	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	0.909189
GTEX-QVJO-0011-R1A-SM-2S1QI	GTEx Tissue Sample Gene Expression Profiles	1.0	1.13468
BRD-K10513366	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.99557
LN18	BioGPS Cell Line Gene Expression Profiles	-1.0	-0.933777
GATA3-30127528-KELLY-HUMAN-BRAIN-NEUROBLASTOMA	ChEA Transcription Factor Targets 2022	1.0	null
CHD2_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
DENND6B	Pathway Commons Protein-Protein Interactions	1.0	null
plasma membrane part	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.042216
hsa-miR-532-3p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.0155
H2AFZ	ENCODE Transcription Factor Targets	1.0	null
RRP1B	Pathway Commons Protein-Protein Interactions	1.0	null
Lupus Erythematosus, Systemic	HuGE Navigator Gene-Phenotype Associations	1.0	null
Kidney renal clear cell carcinoma_KIRC_TCGA-BP-5004-01A-01R-1334-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
GTEX-WWYW-0826-SM-3NB2X	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
SNU-175	COSMIC Cell Line Gene Mutation Profiles	1.0	null
delavirdine	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.07468
sublayer 6b of InsCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.13965
KKU100	DepMap CRISPR Gene Dependency	1.0	10.1912
Lung adenocarcinoma_LUAD_TCGA-62-8398-01A-11R-2326-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
BRD-K78837609	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.60994
BRD-K26024910	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.35895
H3K4me3_cardiac muscle cell_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-N7MS-2526-SM-2D7W3	GTEx Tissue Sample Gene Expression Profiles	1.0	1.06909
placenta_6c	HPA Tissue Sample Gene Expression Profiles	-1.0	-1.12776
H3K4me1_testis_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
cell migration	GO Biological Process Annotations 2015	1.0	null
neuroblastoma cell	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.066498
paraventricular nuclei, left of thalamus, left	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.13673
rapid	GeneRIF Biological Term Annotations	1.0	null
CDK4_knockdown_133_GSE31534	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	-1.0	-2.36862
disabilities	GeneRIF Biological Term Annotations	1.0	null
BRD-K01067435	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-4.22938
H3K4me3_kidney epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
Language Development Disorders	HuGE Navigator Gene-Phenotype Associations	1.0	null
anterior group of nuclei, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	1.0	1.47801
subthalamic nucleus, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.02465
mantle zone of CbH	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.30407
H3K4me3_Panc1_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
NCIH1623	CCLE Cell Line Gene Expression Profiles	1.0	1.94035
KLF10	Pathway Commons Protein-Protein Interactions	1.0	null
Bladder Urothelial Carcinoma_BLCA_TCGA-FD-A3SM-01A-11R-A22U-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Posterolateral visual area, layer 1	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.56343
GTEX-OXRN-2626-SM-48TBX	GTEx Tissue Sample Gene Expression Profiles	1.0	0.869204
GTEX-RUSQ-2026-SM-4GIAK	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
MAFK_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
central nervous system	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	1.02688
MTRF1	Pathway Commons Protein-Protein Interactions	1.0	null
HN	CCLE Cell Line Gene CNV Profiles	1.0	1.81038
H3K4me3_cardiac mesoderm_hg19_7	ENCODE Histone Modification Site Profiles	1.0	null
studies	GeneRIF Biological Term Annotations	1.0	null
H3K4me1_megakaryocyte_mm9_3	ENCODE Histone Modification Site Profiles	1.0	null
CTCF_MCF-7_hg19_4	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-T6MN-2526-SM-32PMN	GTEx Tissue Sample Gene Expression Profiles	1.0	1.01156
layer 5 of FCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.12442
GTEX-V955-0926-SM-4JBJ8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
DFCI024	CCLE Cell Line Gene Expression Profiles	1.0	1.62137
H3K4me3_megakaryocyte_mm9_3	ENCODE Histone Modification Site Profiles	1.0	null
Acute Myeloid Leukemia_LAML_TCGA-AB-2859-03A-01T-0736-13	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
HO-1-N-1	GDSC Cell Line Gene Expression Profiles	-1.0	-1.64882
LUDLU1	CCLE Cell Line Gene Expression Profiles	1.0	2.11741
superficial stratum of PHyB-V	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.76971
H3K9ac_H1	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-U8XE-1726-SM-4E3IF	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
BRD-K53992608	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.3707
Primary motor area, Layer 5	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.07064
intermediate stratum of LPrP	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.26298
caudal prosubiculum	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	2.06332
layer 3 of PCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.49612
Agranular insular area, dorsal part, layer 2/3	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.19503
BRD-K43240808	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.22695
H3K27ac_testis_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
EZH2_astrocyte_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
head	TISSUES Curated Tissue Protein Expression Evidence Scores	1.0	null
H3K4me1_H1 BMP4 Derived Trophoblast Cultured Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
NCI-H2170	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	1.0	0.915817
superficial stratum of r4BI	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.22642
143B	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.2485
intracellular membrane-bounded organelle	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.279245
HMGN3_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SW 1990	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.64289
central nervous system	TISSUES Curated Tissue Protein Expression Evidence Scores	1.0	null
GTEX-WHSE-1126-SM-3NMBU	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
CEBPB_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
Reading Disabilities	DisGeNET Gene-Disease Associations	1.0	null
CTCF_GM12878_hg19_5	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K4me3_CD14-positive monocyte_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K74486924	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.00817
GTEX-N7MS-0011-R5a-SM-2HMK8	GTEx Tissue Sample Gene Expression Profiles	1.0	0.872023
GTEX-WZTO-0011-R6B-SM-4E3J6	GTEx Tissue Sample Gene Expression Profiles	1.0	1.07862
SU-DHL-6	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.4141
H3K4me1_mammary epithelial cell_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
BRD-K58728497	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.25492
robo1	GeneRIF Biological Term Annotations	1.0	null
BRD-K00767817	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.34121
GTEX-UJHI-1926-SM-3DB8Z	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
Seven cysteines, N-terminal	InterPro Predicted Protein Domain Annotations	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-HT-7856-01A-11R-2403-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
three	GeneRIF Biological Term Annotations	1.0	null
mantle zone of cerebellar vermis	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.00435
regulation of multicellular organismal process	GO Biological Process Annotations 2015	1.0	null
molecular layer of CbHCx	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.22065
BRD-K06148621	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.51058
H3K4me3_mammary epithelial cell_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
Pancreatic adenocarcinoma_PAAD_TCGA-HZ-8519-01A-11R-2404-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
PHF8	ENCODE Transcription Factor Targets	1.0	null
GTEX-NPJ8-0011-R10A-SM-2YUMO	GTEx Tissue Sample Gene Expression Profiles	1.0	1.15379
RBBP5_K562_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
PLA2G4A	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-4717-5p	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.7397
PPIP5K2	Pathway Commons Protein-Protein Interactions	1.0	null
BRD-K17708304	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.06269
GATA3	ENCODE Transcription Factor Targets	1.0	null
RCOR1_K562_hg19_2	ENCODE Transcription Factor Binding Site Profiles	1.0	null
EZH2_T-cell acute lymphoblastic leukemia_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
BRD-K22039769	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.88713
pyrazinamide_mus musculus_gpl6246_gse48027	GEO Signatures of Differentially Expressed Genes for Small Molecules	-1.0	null
BRD-K35953312	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.67845
Lingula (I), molecular layer	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.70021
Fetallung	BioGPS Human Cell Type and Tissue Gene Expression Profiles	-1.0	-1.34233
H3K4me3_fibroblast of the aortic adventitia_hg19_2	ENCODE Histone Modification Site Profiles	1.0	null
TBP	ENCODE Transcription Factor Targets	1.0	null
GTEX-XMD1-0011-R8A-SM-4AT48	GTEx Tissue Sample Gene Expression Profiles	1.0	1.03193
GTEX-OHPN-0011-R11A-SM-2I5FM	GTEx Tissue Sample Gene Expression Profiles	1.0	1.04334
BRD-K60053695	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.22662
superficial stratum of THyB-D	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.1009
amino acid metabolic disorder	DISEASES Text-mining Gene-Disease Association Evidence Scores	1.0	0.085637
GTEX-U8XE-1126-SM-3DB8W	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
RAD21_H1-hESC_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
GTEX-SUCS-0008-SM-4DM53	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
terete nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.06958
Prostate adenocarcinoma_PRAD_TCGA-EJ-5514-01A-01R-1580-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
JUND_HeLa-S3_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
region	GeneRIF Biological Term Annotations	1.0	null
SIN3A_H1-hESC_hg19_3	ENCODE Transcription Factor Binding Site Profiles	1.0	null
SMARCC1	ENCODE Transcription Factor Targets	1.0	null
outer CP in posterior parahippocampal cortex	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	1.0	1.30907
posterior (caudal) superior temporal cortex (area 22c)_25 pcw_F_12948	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	1.0	1.50664
Lung squamous cell carcinoma_LUSC_TCGA-18-5595-01A-01R-1635-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Brain Lower Grade Glioma_LGG_TCGA-HT-7694-01A-11R-2256-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
PDK1_knockout_80_GSE26290	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	1.0	0.139297
ME-1	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene Expression Profiles	-1.0	-0.923945
Cargo recognition for clathrin-mediated endocytosis	Reactome Pathways 2024	1.0	null
thalamus	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.132867
BRD-K64266251	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.32615
MYC_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
H3K23me2_H9	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
GTEX-QDVJ-0008-SM-48U2E	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
interstitial nucleus of Cajal, right	Allen Brain Atlas Adult Human Brain Tissue Gene Expression Profiles	-1.0	-1.04676
GTEX-PVOW-0008-SM-48TE8	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
PHF8_H1-hESC_hg19_1	ENCODE Transcription Factor Binding Site Profiles	1.0	null
lateral trapezoid nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.09808
previous	GeneRIF Biological Term Annotations	1.0	null
GTEX-VUSH-0004-SM-3P61T	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
SCC-15	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-1.03977
organelle	COMPARTMENTS Text-mining Protein Localization Evidence Scores	1.0	0.258016
BRD-K73524144	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.30695
A-Vietnam-1203_CIP048_RG3-2004(H5N1)mutPB2-627E_24Hour_None_GSE43203	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	3.44457
POLR3A	Pathway Commons Protein-Protein Interactions	1.0	null
cerebellar hemisphere	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.30407
Seven cysteines	InterPro Predicted Protein Domain Annotations	1.0	null
H3K4me3_fibroblast of pulmonary artery_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-XOTO-0011-R1B-SM-4B65C	GTEx Tissue Sample Gene Expression Profiles	1.0	0.962303
BRD-K55442031	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.55747
variant	GeneRIF Biological Term Annotations	1.0	null
HOXB13-26457646-LNCAP-HUMAN-PROSTATE-CARCINOMA	ChEA Transcription Factor Targets 2022	1.0	null
temporoparietal	GeneRIF Biological Term Annotations	1.0	null
BRD-K55946794	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.99533
TP63_01_183	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	1.0	1.57902
GTEX-Q2AG-2926-SM-2HMJ3	GTEx Tissue Sample Gene Expression Profiles	1.0	0.950429
H3K27ac_CD4 Naive Primary Cells	Roadmap Epigenomics Histone Modification Site Profiles	1.0	null
cerebellar cortex_26 pcw_F_12949	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-0.993111
posteroventral (inferior) parietal cortex_24 pcw_M_12288	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by RNA-seq	1.0	1.92846
Prelimbic area, layer 6b	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	1.0	1.46093
Kidney renal clear cell carcinoma_KIRC_TCGA-A3-3358-01A-01R-1541-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Head and Neck squamous cell carcinoma_HNSC_TCGA-UF-A7JF-01A-11R-A34R-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
CBFB	Pathway Commons Protein-Protein Interactions	1.0	null
A-Vietnam-1203-2004(H5N1)_0Hour_21865398_GSE28166	GEO Signatures of Differentially Expressed Genes for Viral Infections	1.0	1.67796
EP400	Pathway Commons Protein-Protein Interactions	1.0	null
PML	Pathway Commons Protein-Protein Interactions	1.0	null
oxaliplatin	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.08737
MFM-223	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	-1.0	-0.857598
ZEB1	ENCODE Transcription Factor Targets	1.0	null
BRD-K09191014	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	-1.0	-3.35486
VZ in dorsomedial parietal cortex (area 7m)	Allen Brain Atlas Prenatal Human Brain Tissue Gene Expression Profiles	-1.0	-1.56085
Bladder Urothelial Carcinoma_BLCA_TCGA-BL-A13I-01A-11R-A13Y-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
ZNF622_02_108	KnockTF Gene Expression Profiles with Transcription Factor Perturbations	1.0	5.16993
QPCTL	Pathway Commons Protein-Protein Interactions	1.0	null
primary visual cortex (striate cortex, area V1/17)_15 yrs_M_12299	Allen Brain Atlas Developing Human Brain Tissue Gene Expression Profiles by Microarray	-1.0	-0.963053
GTEX-XUJ4-0004-SM-4BOQE	GTEx Tissue Sample Gene Expression Profiles	-1.0	-1.32213
OVCAR8	CCLE Cell Line Gene CNV Profiles	1.0	1.34732
Lung adenocarcinoma_LUAD_TCGA-86-8073-01A-11R-2241-07	TCGA Signatures of Differentially Expressed Genes for Tumors	1.0	null
Cerebellar cortex	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.24301
animal	TISSUES Text-mining Tissue Protein Expression Evidence Scores	1.0	0.687592
H3K4me3_embryonic fibroblast_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
tuberal nucleus	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-2.84201
BACH1	ChEA Transcription Factor Targets	1.0	null
GABP-19822575-HepG2-human	ChEA Transcription Factor Binding Site Profiles	1.0	null
SMARCA5	Pathway Commons Protein-Protein Interactions	1.0	null
TRABD2A	Pathway Commons Protein-Protein Interactions	1.0	null
r1 roof plate	Allen Brain Atlas Adult Mouse Brain Tissue Gene Expression Profiles	-1.0	-1.05915
hypothalamus	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	1.0	0.836212
H3K4me1_myotube_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-XMD1-0011-R11A-SM-4AT5J	GTEx Tissue Sample Gene Expression Profiles	1.0	1.27201
abnormality of the vasculature	GWASdb SNP-Phenotype Associations	1.0	0.13491
BRD-K11420482	LINCS L1000 CMAP Chemical Perturbation Consensus Signatures	1.0	3.4321
H3K4me3_GM12865_hg19_1	ENCODE Histone Modification Site Profiles	1.0	null
H3K4me1_liver_mm9_1	ENCODE Histone Modification Site Profiles	1.0	null
GTEX-T6MN-0011-R1A-SM-32QOY	GTEx Tissue Sample Gene Expression Profiles	1.0	0.896696
NCI-H209	Klijn et al., Nat. Biotechnol., 2015 Cell Line Gene CNV Profiles	1.0	1.12405
RAD50	Pathway Commons Protein-Protein Interactions	1.0	null
GTEX-QDT8-0011-R2A-SM-32PKQ	GTEx Tissue Sample Gene Expression Profiles	1.0	1.03317
hsa-miR-1276	TargetScan Predicted Nonconserved microRNA Targets	1.0	1.20993
MCTP2	Pathway Commons Protein-Protein Interactions	1.0	null
hsa-miR-4517	TargetScan Predicted Nonconserved microRNA Targets	1.0	0.921135
MKL1	Pathway Commons Protein-Protein Interactions	1.0	null
